activity_intensity,mask_type,pm25,pm10,co,no2,rmv_liters_per_min,duration_minutes,mask_efficiency,hour,temperature,humidity,wind_speed,inversion_factor,cumulative_toxic_load_score,pm25_retained_micrograms,co_blood_saturation_estimate
moderate_run,n95,63.03,77.8,4.39,44.56,37.6,19.3,0.95,17.27,29.17,51.43,4.28,0.237,0.76,2.29,0.09
moderate_run,cloth,300.0,500.0,12.44,21.42,40.86,71.4,0.3,20.84,25.43,72.98,2.73,0.551,99.9,612.94,2.21
high_intensity_run,cloth,34.56,52.37,3.98,38.05,56.72,14.0,0.3,18.5,29.93,65.45,4.92,0.272,30.2,19.17,0.11
moderate_run,medical,80.73,162.7,2.71,47.58,36.81,48.9,0.6,19.21,28.52,72.11,3.38,0.396,48.29,58.15,0.21
moderate_run,medical,33.99,55.15,3.18,48.91,34.69,23.4,0.6,19.59,26.51,73.65,3.33,0.426,16.19,11.06,0.2
high_intensity_run,medical,40.49,60.19,17.92,78.59,56.37,18.2,0.6,0.52,21.13,88.91,1.51,0.864,57.87,16.61,0.66
light_jog,medical,229.08,393.74,3.58,143.63,26.06,29.5,0.6,20.27,26.55,74.12,2.29,0.528,50.38,70.35,0.08
high_intensity_run,medical,19.84,34.19,3.46,23.55,58.21,42.1,0.6,0.97,22.92,82.15,1.75,0.871,40.35,19.44,0.25
resting,medical,67.48,118.96,3.88,40.65,7.31,20.9,0.6,1.86,19.28,85.22,1.89,0.892,5.01,4.13,0.02
moderate_run,n95,167.42,285.4,4.96,42.63,45.03,16.1,0.95,21.82,25.06,73.08,3.26,0.601,5.95,6.09,0.0
high_intensity_run,medical,25.9,33.17,2.99,35.97,59.39,11.0,0.6,23.44,19.99,88.22,1.74,0.792,12.96,6.75,0.0
moderate_run,n95,36.1,74.9,1.48,75.26,48.58,94.5,0.95,18.59,29.59,64.99,4.15,0.315,13.98,8.28,0.07
moderate_run,none,122.08,208.9,2.6,110.75,49.92,51.2,0.0,2.03,19.26,88.42,0.78,0.951,97.61,312.23,0.54
moderate_run,medical,32.11,48.57,2.11,188.55,34.37,24.6,0.6,5.72,21.8,86.31,2.26,0.814,34.2,10.85,0.12
light_jog,medical,85.84,144.0,3.73,48.02,20.61,52.7,0.6,3.02,19.87,89.52,1.17,0.942,33.11,37.3,0.14
light_jog,none,26.59,52.54,1.78,16.57,24.99,41.8,0.0,15.88,30.36,58.69,5.47,0.134,32.84,27.8,0.25
light_jog,n95,91.22,123.17,2.33,27.64,26.01,61.9,0.95,16.0,31.7,57.45,6.61,0.08,6.45,7.34,0.0
moderate_run,cloth,96.79,173.45,2.53,19.1,39.76,36.0,0.3,12.49,33.01,56.81,5.66,0.18,61.72,96.92,0.3
moderate_run,none,36.03,52.65,3.61,60.46,42.25,68.2,0.0,10.52,27.14,54.8,5.89,0.289,87.28,103.83,0.95
light_jog,n95,11.01,11.01,1.89,72.7,24.46,26.9,0.95,22.24,22.47,83.85,2.18,0.687,1.05,0.36,0.0
high_intensity_run,none,93.34,140.33,13.34,80.99,51.95,46.3,0.0,0.63,19.08,88.75,1.18,0.885,100.0,224.36,2.88
moderate_run,cloth,121.9,178.73,9.38,172.59,38.26,65.8,0.3,5.65,23.63,78.75,2.37,0.812,93.72,214.81,1.46
moderate_run,cloth,96.01,175.46,6.03,52.62,39.36,47.6,0.3,2.65,21.79,90.48,1.34,0.932,85.0,126.0,0.76
moderate_run,n95,58.28,96.85,4.85,24.01,42.7,110.9,0.95,17.66,29.24,64.78,4.85,0.227,15.7,13.8,0.03
light_jog,cloth,81.37,116.85,1.85,50.35,24.03,61.2,0.3,3.81,19.81,85.63,1.61,0.913,60.97,83.75,0.08
moderate_run,medical,56.13,106.0,2.71,28.69,39.08,52.2,0.6,4.11,18.96,82.32,1.79,0.898,46.98,45.8,0.17
moderate_run,n95,32.52,51.16,2.29,25.93,41.82,32.8,0.95,19.93,28.45,66.85,4.54,0.39,2.29,2.23,0.09
resting,medical,48.21,76.79,1.1,36.56,6.89,46.9,0.6,18.21,30.29,56.29,4.67,0.266,9.22,6.23,0.02
high_intensity_run,n95,58.29,108.92,3.07,67.84,59.91,79.4,0.95,23.86,18.54,84.58,0.91,0.859,18.66,13.87,0.04
high_intensity_run,n95,64.05,122.46,13.44,20.12,50.95,30.3,0.95,13.74,32.77,54.4,5.59,0.137,9.02,4.94,0.14
moderate_run,cloth,29.71,48.59,3.35,17.41,36.36,22.9,0.3,19.76,25.05,75.79,5.08,0.35,26.6,17.31,0.1
high_intensity_run,n95,50.69,98.95,11.53,76.26,56.34,30.4,0.95,23.09,21.05,79.8,0.56,0.828,14.3,4.34,0.23
high_intensity_run,cloth,71.55,95.49,11.38,30.48,56.78,29.4,0.3,0.37,19.04,87.81,0.51,0.906,77.49,83.5,1.35
light_jog,none,31.73,40.97,1.63,42.53,23.27,56.4,0.0,19.33,24.64,66.96,3.95,0.376,43.04,41.65,0.16
moderate_run,none,29.82,49.16,4.24,103.77,44.3,103.6,0.0,4.19,20.91,85.08,1.03,0.934,99.17,136.91,1.79
moderate_run,medical,86.36,125.32,2.74,73.41,46.16,14.5,0.6,7.45,27.41,66.48,3.63,0.637,28.5,23.06,0.06
light_jog,none,21.7,32.68,5.83,53.11,23.74,10.0,0.0,18.84,26.68,60.59,4.68,0.305,16.93,5.15,0.08
light_jog,medical,71.64,114.79,5.42,94.22,27.97,42.5,0.6,6.19,24.34,85.46,2.04,0.799,48.38,34.11,0.31
light_jog,cloth,91.5,129.54,12.92,58.58,20.24,21.0,0.3,4.15,22.19,89.25,2.29,0.872,43.13,27.18,0.23
moderate_run,cloth,163.58,328.15,4.85,27.35,43.44,50.1,0.3,3.55,21.35,87.68,0.54,0.97,93.89,249.38,0.65
high_intensity_run,none,178.61,236.08,5.16,154.55,51.23,53.6,0.0,17.4,32.18,60.51,4.63,0.225,99.22,490.43,1.34
high_intensity_run,n95,147.44,275.31,2.58,66.7,59.29,29.4,0.95,1.72,21.16,90.93,1.95,0.886,10.53,12.87,0.14
light_jog,cloth,30.47,61.23,1.07,48.7,23.08,57.3,0.3,17.88,31.32,58.73,4.03,0.28,37.85,28.2,0.2
light_jog,none,37.6,51.41,4.65,39.41,24.86,26.4,0.0,17.9,27.75,58.98,5.01,0.232,35.27,24.68,0.22
moderate_run,cloth,52.43,82.73,3.15,12.47,37.41,26.4,0.3,17.91,30.01,58.18,5.74,0.196,36.69,36.2,0.14
moderate_run,cloth,67.74,114.3,6.24,31.78,39.32,23.8,0.3,2.96,22.0,88.12,0.2,0.99,48.15,44.38,0.34
high_intensity_run,medical,46.93,71.43,7.53,90.81,63.05,30.6,0.6,16.68,29.65,51.65,5.21,0.168,61.02,36.21,0.64
high_intensity_run,cloth,134.53,245.89,4.92,15.41,54.53,40.1,0.3,23.68,18.0,82.14,2.01,0.793,86.57,205.76,0.72
high_intensity_run,none,47.71,72.06,5.12,32.57,64.29,37.4,0.0,17.37,28.29,60.59,4.93,0.21,83.79,114.81,1.36
high_intensity_run,n95,95.3,139.67,7.03,50.3,53.3,44.9,0.95,8.58,26.05,65.84,3.92,0.537,13.15,11.4,0.13
high_intensity_run,cloth,33.74,58.49,3.64,41.34,61.56,55.6,0.3,4.78,22.2,76.42,1.75,0.88,80.76,80.88,0.93
moderate_run,none,68.16,101.48,2.12,134.56,34.8,45.2,0.0,19.82,25.6,67.65,3.8,0.419,81.21,107.25,0.3
resting,n95,24.86,32.43,16.44,20.69,6.84,93.5,0.95,0.88,20.26,89.41,0.62,0.924,1.64,0.79,0.0
resting,medical,130.45,206.18,5.31,33.12,6.7,41.8,0.6,1.15,19.42,88.02,1.52,0.889,11.93,14.62,0.24
moderate_run,medical,42.4,71.84,3.72,45.41,44.92,63.0,0.6,10.65,29.68,51.75,5.25,0.312,57.2,48.04,0.28
light_jog,cloth,27.49,50.7,1.94,61.7,25.37,13.1,0.3,22.81,21.9,86.19,1.14,0.78,8.89,6.38,0.06
light_jog,cloth,43.82,77.27,3.9,43.15,20.82,44.9,0.3,19.85,25.47,68.33,3.32,0.446,37.49,28.66,0.24
high_intensity_run,cloth,77.24,146.07,4.53,53.13,49.24,37.2,0.3,21.32,24.95,77.47,1.8,0.635,69.54,98.95,0.48
light_jog,none,31.52,57.74,2.1,34.84,22.97,35.1,0.0,0.68,22.01,91.11,1.28,0.882,30.18,25.45,0.18
high_intensity_run,none,35.88,67.47,6.3,38.45,59.11,78.5,0.0,22.67,20.76,81.09,2.19,0.718,97.13,166.5,2.66
high_intensity_run,n95,35.42,52.36,2.44,19.02,58.54,113.4,0.95,17.95,29.32,53.17,4.9,0.24,15.42,11.75,0.0
moderate_run,medical,111.92,189.38,0.88,66.37,39.04,56.0,0.6,2.69,18.38,94.73,1.37,0.93,61.65,97.8,0.0
moderate_run,cloth,20.35,37.0,2.87,18.86,38.24,10.9,0.3,3.37,18.28,78.02,1.24,0.937,11.6,5.92,0.11
light_jog,none,79.99,152.05,7.39,20.76,26.43,28.5,0.0,22.74,23.3,80.5,2.31,0.716,57.37,60.22,0.45
moderate_run,medical,46.22,88.42,1.81,71.35,36.39,14.8,0.6,8.89,29.8,71.02,4.0,0.508,18.1,9.94,0.0
light_jog,none,114.59,190.09,20.0,32.79,25.92,44.2,0.0,6.85,23.83,72.54,3.18,0.701,91.84,131.19,2.03
high_intensity_run,none,82.24,138.36,5.53,200.0,56.64,51.9,0.0,23.36,23.58,81.31,0.8,0.833,95.82,241.54,1.42
light_jog,none,133.7,176.82,17.56,34.8,24.45,12.2,0.0,7.78,24.88,70.16,2.52,0.668,51.79,40.0,0.47
light_jog,medical,76.34,105.2,1.71,35.2,25.8,86.4,0.6,22.2,22.45,79.1,2.19,0.684,45.93,68.03,0.04
moderate_run,medical,19.47,35.98,1.15,71.38,40.33,18.0,0.6,13.58,33.96,48.67,6.4,0.101,13.51,5.65,0.0
moderate_run,none,85.41,132.93,3.41,91.69,41.59,50.4,0.0,5.1,20.77,79.85,1.61,0.875,94.17,179.22,0.7
moderate_run,none,55.29,86.41,1.12,29.37,35.73,85.3,0.0,16.45,31.91,59.88,5.89,0.127,80.24,168.56,0.36
moderate_run,medical,26.94,37.82,1.97,31.13,41.97,44.7,0.6,16.1,30.7,52.53,5.82,0.121,30.99,20.21,0.09
light_jog,medical,45.93,82.63,11.9,90.27,27.05,25.3,0.6,6.58,22.96,78.53,1.36,0.809,35.14,12.59,0.24
moderate_run,medical,15.5,30.66,3.25,57.52,41.03,24.4,0.6,3.17,19.67,83.52,2.51,0.874,22.46,6.2,0.21
light_jog,none,92.61,145.36,1.22,38.14,26.2,45.4,0.0,7.51,22.63,77.85,2.42,0.693,63.96,110.19,0.16
light_jog,medical,49.69,92.31,4.23,38.23,24.78,63.1,0.6,20.49,26.74,76.06,2.61,0.53,39.25,31.09,0.28
light_jog,n95,43.84,94.85,9.69,157.96,26.78,49.4,0.95,23.42,21.59,83.7,2.24,0.766,14.62,2.9,0.16
light_jog,medical,29.09,39.27,0.92,34.99,25.13,24.0,0.6,20.56,24.94,75.21,3.14,0.509,10.93,7.02,0.1
light_jog,none,47.45,89.2,1.54,41.44,22.7,36.6,0.0,23.58,20.33,90.59,1.02,0.836,35.94,39.46,0.19
moderate_run,medical,87.14,113.96,4.3,51.09,42.62,21.9,0.6,1.28,20.48,83.67,0.76,0.932,31.17,32.47,0.0
light_jog,cloth,70.61,104.9,1.7,51.57,21.73,21.7,0.3,23.37,22.43,79.67,1.04,0.822,24.84,23.3,0.0
light_jog,none,53.67,79.29,3.61,32.94,25.57,20.9,0.0,0.32,20.24,87.77,0.76,0.891,26.65,28.7,0.07
moderate_run,cloth,20.34,39.36,7.74,89.75,38.77,31.8,0.3,17.46,30.85,53.74,5.51,0.185,58.98,17.53,0.72
light_jog,n95,53.95,86.61,3.15,41.74,24.1,39.0,0.95,0.91,20.57,81.06,0.8,0.916,6.15,2.54,0.0
moderate_run,cloth,40.3,55.05,5.68,70.64,40.55,41.8,0.3,4.64,21.26,77.47,0.93,0.926,68.83,47.84,0.55
high_intensity_run,n95,53.93,85.55,5.59,130.58,51.88,47.9,0.95,22.9,22.97,82.98,1.32,0.777,13.8,6.7,0.09
moderate_run,cloth,69.42,141.04,1.8,31.69,41.64,24.9,0.3,10.3,28.78,51.68,4.82,0.359,44.47,50.42,0.17
high_intensity_run,cloth,45.78,88.62,1.89,63.92,55.25,39.5,0.3,23.59,19.66,82.91,1.03,0.836,73.07,69.97,0.3
resting,none,181.0,266.26,8.29,25.23,6.65,42.5,0.0,1.45,20.0,74.09,0.84,0.934,38.02,51.19,0.21
resting,medical,29.45,50.59,2.89,21.49,7.75,74.6,0.6,12.39,31.52,55.33,5.99,0.168,7.79,6.81,0.16
moderate_run,none,22.44,32.02,4.57,54.64,40.66,12.5,0.0,5.84,22.52,81.67,1.87,0.827,34.56,11.45,0.19
high_intensity_run,cloth,43.59,86.6,3.17,31.98,57.78,15.2,0.3,19.58,28.08,67.18,3.26,0.428,36.7,26.88,0.06
high_intensity_run,none,33.0,44.65,2.85,61.12,61.23,54.3,0.0,18.91,28.29,69.66,3.79,0.355,88.57,109.78,0.84
resting,cloth,300.0,500.0,3.21,25.34,7.78,57.6,0.3,17.55,29.46,62.4,5.83,0.173,51.62,94.22,0.06
high_intensity_run,cloth,46.16,70.86,1.76,42.0,57.55,54.5,0.3,5.5,22.34,77.81,3.28,0.774,75.46,101.29,0.4
moderate_run,none,20.16,38.74,4.32,28.38,39.03,54.1,0.0,9.38,28.21,60.14,4.41,0.45,72.54,42.59,0.91
light_jog,none,38.93,76.42,1.32,63.58,22.14,13.5,0.0,13.74,32.62,55.58,6.43,0.095,19.91,11.62,0.0
light_jog,n95,45.27,71.67,16.96,37.18,25.41,103.7,0.95,9.43,28.26,66.16,3.85,0.474,17.75,5.97,0.03
high_intensity_run,none,22.53,32.77,4.72,26.0,59.82,69.9,0.0,10.75,29.77,57.07,4.79,0.328,90.95,94.15,1.96
resting,cloth,56.22,99.14,3.74,22.71,7.2,13.6,0.3,18.98,25.98,58.22,4.43,0.327,9.86,3.86,0.04
high_intensity_run,cloth,92.56,154.76,2.0,28.18,39.84,33.7,0.3,2.06,19.15,91.71,0.2,0.981,57.65,87.04,0.01
moderate_run,cloth,51.87,74.93,7.15,62.62,42.78,32.6,0.3,20.3,25.86,71.69,3.77,0.457,70.25,50.57,0.51
moderate_run,medical,48.31,78.66,2.66,44.77,42.98,37.3,0.6,22.06,23.14,79.03,1.87,0.689,36.7,30.99,0.17
moderate_run,none,44.08,78.65,5.51,200.0,39.04,30.0,0.0,21.41,22.06,65.12,1.95,0.634,82.93,51.67,0.55
high_intensity_run,cloth,36.88,40.41,2.21,32.15,59.35,19.0,0.3,21.41,23.16,78.64,2.83,0.591,30.43,29.05,0.26
light_jog,medical,22.38,30.64,0.85,15.95,26.26,43.0,0.6,9.25,26.82,63.95,5.17,0.421,10.26,10.1,0.0
resting,cloth,153.21,227.26,11.91,45.46,6.62,77.3,0.3,4.97,23.37,80.66,1.53,0.884,54.36,54.87,0.38
moderate_run,n95,165.33,286.98,4.02,127.4,44.07,29.5,0.95,15.56,31.81,50.13,5.97,0.105,12.16,10.73,0.0
moderate_run,n95,20.47,23.14,2.02,40.07,35.94,47.7,0.95,14.28,32.5,52.49,6.27,0.092,0.04,1.75,0.0
light_jog,none,35.3,50.65,13.35,40.24,24.89,38.0,0.0,20.52,25.1,74.34,3.3,0.498,69.74,33.35,1.16
light_jog,cloth,33.24,44.3,4.04,37.9,24.69,54.1,0.3,0.49,19.71,85.09,0.59,0.908,51.65,31.08,0.45
light_jog,none,97.39,179.33,8.69,38.75,23.35,36.0,0.0,22.41,21.92,82.87,2.16,0.701,68.61,81.79,0.69
resting,none,23.89,40.94,0.95,75.87,7.17,26.8,0.0,10.98,30.81,52.74,5.37,0.283,10.87,4.59,0.02
resting,cloth,73.8,113.55,2.58,24.49,7.73,30.5,0.3,10.36,29.17,56.95,3.31,0.43,14.02,12.18,0.1
high_intensity_run,medical,71.04,117.1,2.94,46.16,60.49,75.7,0.6,21.94,23.68,81.51,2.8,0.633,79.14,130.05,0.6
light_jog,cloth,59.21,90.3,2.09,57.8,26.45,40.9,0.3,4.44,21.35,82.84,0.59,0.95,38.49,44.8,0.04
high_intensity_run,none,89.17,190.15,1.48,33.66,47.54,40.1,0.0,16.42,31.19,62.35,5.59,0.141,79.27,169.89,0.2
high_intensity_run,none,50.64,93.34,4.47,42.4,49.12,74.3,0.0,1.27,20.52,88.78,1.96,0.872,93.21,184.92,1.51
light_jog,n95,56.03,85.44,3.24,19.29,25.33,82.1,0.95,21.93,22.47,74.04,2.14,0.665,3.17,5.83,0.03
moderate_run,n95,21.76,27.29,2.67,43.03,39.89,10.0,0.95,18.46,27.98,56.66,3.85,0.322,4.57,0.43,0.0
moderate_run,none,9.86,9.86,2.05,30.45,38.41,15.5,0.0,18.11,29.94,64.6,5.02,0.243,20.06,5.88,0.0
moderate_run,medical,83.68,156.87,6.16,77.79,46.1,62.4,0.6,10.47,31.8,56.74,5.85,0.295,82.25,96.24,0.63
resting,cloth,31.84,54.81,1.3,34.79,7.06,42.0,0.3,18.77,29.0,67.99,3.62,0.354,6.83,6.61,0.05
light_jog,medical,123.13,179.96,4.13,48.71,26.08,82.3,0.6,6.33,20.11,75.47,1.03,0.842,65.82,105.67,0.44
resting,medical,30.09,56.15,1.91,34.82,7.55,12.6,0.6,15.03,30.87,53.62,6.62,0.069,4.44,1.15,0.01
moderate_run,n95,48.89,82.45,2.38,57.33,40.18,45.6,0.95,21.13,24.39,73.89,3.29,0.546,2.18,4.48,0.02
high_intensity_run,none,43.0,64.98,0.58,10.98,66.4,55.7,0.0,14.19,30.67,53.05,6.23,0.095,78.14,159.12,0.13
moderate_run,cloth,35.87,56.0,3.22,49.6,36.99,32.9,0.3,19.64,25.19,71.23,2.65,0.463,46.72,30.54,0.25
moderate_run,n95,15.24,23.47,1.81,12.28,38.06,60.3,0.95,17.08,29.65,57.63,5.59,0.164,4.22,1.75,0.0
high_intensity_run,none,33.26,53.55,4.46,36.94,50.85,63.1,0.0,22.35,22.95,83.03,2.68,0.67,87.76,106.66,1.35
moderate_run,none,20.52,38.21,20.0,45.54,45.0,38.2,0.0,15.14,32.48,46.0,7.18,0.041,92.02,35.32,3.19
resting,medical,56.21,107.25,4.22,162.79,7.45,36.7,0.6,7.06,24.1,76.04,2.72,0.71,15.98,6.14,0.16
high_intensity_run,n95,112.17,165.26,5.18,25.94,52.61,66.6,0.95,22.5,21.82,81.03,2.08,0.711,22.5,19.64,0.11
moderate_run,medical,42.0,64.12,2.4,32.07,37.24,45.1,0.6,0.99,19.2,86.32,0.2,0.949,33.12,28.21,0.19
resting,n95,50.63,101.84,4.0,16.12,7.78,53.6,0.95,7.8,26.3,61.37,3.95,0.595,3.1,1.05,0.0
moderate_run,medical,61.16,114.1,3.23,28.32,41.16,45.0,0.6,21.39,24.4,69.71,3.18,0.571,45.48,45.28,0.25
high_intensity_run,none,40.0,78.78,2.32,200.0,61.21,43.7,0.0,2.48,21.14,88.77,1.26,0.934,97.58,106.89,0.63
light_jog,medical,51.83,70.69,1.5,13.36,24.88,36.6,0.6,17.75,29.49,61.42,5.6,0.195,17.25,18.89,0.06
moderate_run,n95,114.36,220.19,5.35,7.48,41.64,55.6,0.95,22.76,20.45,83.55,1.38,0.765,16.97,13.24,0.05
light_jog,n95,69.05,103.13,2.24,76.19,25.6,23.5,0.95,21.51,23.27,76.92,2.4,0.62,4.19,2.08,0.0
resting,none,56.28,77.52,1.95,79.57,6.65,13.1,0.0,22.59,23.26,76.5,1.82,0.73,7.3,4.89,0.15
resting,none,28.96,49.77,8.1,41.06,6.92,40.0,0.0,9.44,26.13,59.26,5.08,0.411,21.27,8.02,0.08
moderate_run,n95,40.7,64.85,8.7,39.58,36.21,83.0,0.95,18.67,27.95,55.4,5.03,0.276,16.81,6.11,0.22
high_intensity_run,none,32.2,59.02,1.76,67.14,57.17,45.1,0.0,20.52,25.53,72.95,3.35,0.495,81.13,83.13,0.45
light_jog,none,26.72,49.9,5.59,52.39,26.52,34.6,0.0,14.74,34.29,59.96,6.11,0.095,53.02,24.53,0.43
light_jog,n95,50.34,84.42,1.13,24.16,26.98,31.9,0.95,21.62,22.81,77.04,2.8,0.609,3.61,2.17,0.05
light_jog,cloth,34.51,45.99,1.4,15.64,26.33,30.6,0.3,15.79,31.21,50.9,5.53,0.13,19.15,19.49,0.11
resting,cloth,86.68,136.08,1.34,21.26,6.93,10.0,0.3,19.65,28.57,68.47,4.54,0.369,4.5,4.2,0.0
moderate_run,none,44.25,78.7,2.85,32.31,44.97,76.6,0.0,0.43,19.79,85.96,0.94,0.888,89.66,152.38,0.98
moderate_run,none,68.06,92.86,3.55,68.59,42.86,28.7,0.0,21.51,24.98,69.99,2.8,0.6,68.66,83.79,0.42
moderate_run,n95,32.34,50.08,1.22,67.61,44.44,40.5,0.95,17.72,29.84,60.91,4.55,0.246,7.38,2.91,0.0
moderate_run,cloth,27.75,47.25,2.37,32.45,44.64,33.4,0.3,19.92,25.85,69.21,4.12,0.411,33.94,28.94,0.35
moderate_run,none,87.88,122.99,2.03,59.07,39.6,25.7,0.0,23.72,21.58,84.21,1.37,0.828,63.07,89.55,0.24
resting,cloth,77.52,128.52,4.59,46.6,7.22,78.8,0.3,0.28,20.42,94.16,2.49,0.803,31.37,30.85,0.2
light_jog,none,45.31,68.02,4.52,32.0,26.55,19.5,0.0,2.6,22.78,87.38,0.95,0.951,35.07,23.51,0.3
high_intensity_run,none,9.28,9.28,10.35,29.16,49.94,56.7,0.0,5.51,19.88,88.21,2.55,0.81,88.09,26.28,2.69
high_intensity_run,none,120.72,202.37,1.17,52.31,50.04,14.5,0.0,23.75,20.68,81.65,1.04,0.845,53.86,87.7,0.15
high_intensity_run,cloth,61.54,111.38,5.96,51.57,49.28,36.8,0.3,15.1,31.45,46.7,5.71,0.114,75.43,78.17,0.76
high_intensity_run,none,122.37,217.81,8.76,63.87,54.52,72.7,0.0,5.61,22.32,77.32,2.01,0.832,99.55,484.9,3.13
moderate_run,cloth,110.55,216.97,2.42,39.13,38.93,29.9,0.3,8.03,27.34,74.56,3.73,0.589,58.21,89.94,0.17
high_intensity_run,cloth,45.63,56.49,2.36,87.22,48.68,53.8,0.3,18.58,27.64,60.44,3.96,0.325,80.44,83.73,0.36
moderate_run,cloth,31.62,56.23,3.53,87.51,40.48,29.0,0.3,12.69,32.24,47.34,5.51,0.178,47.06,25.99,0.38
resting,none,18.22,21.95,7.11,17.78,6.95,32.8,0.0,21.26,24.33,77.2,2.74,0.583,14.89,4.15,0.03
resting,none,68.43,131.3,0.96,25.22,7.66,61.0,0.0,4.46,22.2,82.87,1.74,0.892,24.91,32.0,0.07
light_jog,none,29.38,58.44,1.94,13.68,29.03,54.5,0.0,14.06,31.83,54.3,5.98,0.11,49.56,46.5,0.39
resting,cloth,36.33,78.79,5.12,81.78,7.26,83.5,0.3,22.63,22.58,78.74,1.81,0.734,33.05,15.4,0.1
moderate_run,medical,27.41,44.13,4.18,42.68,37.77,29.8,0.6,23.61,20.99,80.88,0.68,0.855,25.88,12.33,0.18
moderate_run,none,22.53,28.8,2.92,36.44,42.07,48.8,0.0,17.76,28.13,66.69,5.18,0.216,63.61,46.26,0.65
high_intensity_run,n95,18.81,33.44,0.92,50.93,55.04,41.9,0.95,11.38,32.56,52.73,5.94,0.228,4.53,2.17,0.0
moderate_run,medical,77.43,135.19,2.06,35.6,39.23,49.6,0.6,18.26,27.73,58.72,5.18,0.244,47.62,60.26,0.16
light_jog,none,75.57,126.16,2.05,22.31,23.28,69.5,0.0,15.85,30.74,55.91,5.8,0.117,69.93,122.34,0.29
moderate_run,none,32.88,46.01,1.82,21.96,38.51,26.6,0.0,20.48,24.22,61.12,2.82,0.518,35.25,33.62,0.1
moderate_run,none,132.71,180.7,8.89,44.99,39.43,47.7,0.0,4.53,21.75,87.13,1.34,0.91,93.62,249.52,1.5
resting,none,66.96,116.59,3.12,82.94,7.45,78.3,0.0,4.68,20.84,90.91,1.68,0.887,45.92,39.05,0.12
light_jog,cloth,149.39,240.58,2.19,18.32,26.02,41.9,0.3,5.3,23.92,85.16,1.86,0.854,57.01,113.97,0.03
light_jog,none,87.18,175.59,15.53,37.14,28.65,60.8,0.0,23.4,21.98,79.82,1.05,0.824,97.31,151.79,2.59
light_jog,n95,61.09,109.41,3.93,11.03,26.35,10.0,0.95,12.6,31.27,50.3,4.82,0.216,0.94,0.81,0.04
high_intensity_run,cloth,65.48,128.41,4.13,80.67,56.87,43.0,0.3,22.02,21.89,79.32,1.91,0.684,79.56,112.1,0.62
high_intensity_run,medical,25.09,36.29,2.47,12.08,53.65,30.9,0.6,14.08,31.87,53.46,5.83,0.117,22.98,16.61,0.11
moderate_run,n95,29.22,55.21,2.58,20.01,36.68,10.0,0.95,2.49,20.67,94.31,1.21,0.937,5.12,0.54,0.0
light_jog,cloth,72.83,145.87,2.3,86.44,23.86,54.1,0.3,1.37,20.03,94.03,0.79,0.934,61.51,65.76,0.13
high_intensity_run,n95,47.7,85.68,1.48,28.39,51.92,47.9,0.95,20.34,25.3,70.74,3.13,0.492,7.1,5.93,0.0
moderate_run,n95,300.0,500.0,3.28,17.66,31.81,23.7,0.95,2.16,18.78,85.86,1.07,0.939,6.43,11.31,0.0
light_jog,cloth,96.71,150.37,1.38,69.2,22.98,15.7,0.3,4.6,24.03,80.87,2.5,0.849,28.6,24.45,0.09
moderate_run,none,37.92,52.21,7.61,54.86,45.13,105.8,0.0,4.86,21.36,85.78,1.57,0.887,100.0,181.04,3.18
moderate_run,cloth,43.03,76.94,1.92,121.07,41.18,50.1,0.3,11.08,28.68,61.33,4.37,0.326,79.35,62.11,0.27
moderate_run,none,37.05,59.4,5.69,18.48,38.8,49.4,0.0,18.93,26.37,65.29,3.78,0.356,80.49,70.98,0.93
light_jog,cloth,60.14,113.92,2.21,27.71,25.8,26.1,0.3,4.57,20.89,84.08,2.63,0.844,25.83,28.33,0.17
moderate_run,cloth,26.88,51.47,5.03,30.9,33.75,33.4,0.3,23.5,23.58,92.72,2.38,0.763,38.63,21.24,0.35
resting,cloth,70.09,119.64,1.05,61.75,7.16,78.7,0.3,17.46,29.5,61.61,5.61,0.18,34.46,27.66,0.07
light_jog,n95,33.26,64.39,1.85,10.8,27.55,42.4,0.95,17.98,28.58,52.7,5.18,0.227,1.99,1.94,0.0
light_jog,none,55.65,94.63,1.83,25.61,24.76,80.3,0.0,14.87,32.86,52.32,6.36,0.082,68.27,110.58,0.44
high_intensity_run,cloth,45.26,81.59,4.96,60.97,47.2,50.2,0.3,3.02,21.32,88.16,0.95,0.953,79.83,75.03,0.65
light_jog,cloth,49.53,91.56,1.68,102.93,24.17,70.7,0.3,4.3,21.84,83.76,1.96,0.885,63.64,59.22,0.13
moderate_run,n95,89.63,159.48,11.16,29.97,44.09,10.0,0.95,4.33,21.32,89.79,2.0,0.882,4.0,1.98,0.0
light_jog,medical,17.52,26.79,3.86,57.83,25.52,25.2,0.6,23.94,19.52,84.13,1.86,0.816,13.16,4.5,0.09
high_intensity_run,none,114.81,220.26,3.9,34.73,48.76,41.9,0.0,4.78,20.62,79.51,1.27,0.904,94.25,234.73,0.74
moderate_run,medical,128.54,175.45,1.27,20.51,47.58,35.2,0.6,8.31,24.58,65.69,3.51,0.578,44.96,85.99,0.0
high_intensity_run,none,104.71,135.12,3.7,33.62,49.48,54.3,0.0,18.14,28.54,64.26,4.29,0.281,90.73,281.09,0.83
light_jog,medical,26.52,47.6,6.02,28.19,24.51,15.7,0.6,17.36,29.31,53.12,5.69,0.171,8.4,4.09,0.0
